variant,env,trial,seed,final_cost,time_s,path_len
no_smoothing,Tiago 14D simple,0,42,9.571157222401098,1122.865437746048,3
no_smoothing,Tiago 14D simple,1,43,9.44718211691361,1113.523960351944,3
no_smoothing,Tiago 14D simple,2,44,9.166635963526101,1282.0670177936554,3
no_smoothing,Tiago 14D simple,3,45,9.584524434219007,1073.1544938087463,3
no_smoothing,Tiago 14D simple,4,46,9.466345122493525,1104.7929520606995,3
no_smoothing,Tiago 14D simple,5,47,9.482535686911614,1087.2252895832062,3
no_smoothing,Tiago 14D simple,6,48,9.616548471385398,1331.060885667801,4
no_smoothing,Tiago 14D simple,7,49,9.06341260211161,1280.9024019241333,3
no_smoothing,Tiago 14D simple,8,50,9.143803001056865,1271.5346591472626,3
no_smoothing,Tiago 14D simple,9,51,9.4226479470151,1240.656902551651,3
